Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,VCH,VCD,VCA,BFEH,BFED,BFEA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,GoalDifference,HomeTeamPoints,AwayTeamPoints,HomeTeamForm,AwayTeamForm
E0,2013-08-17,X,Liverpool,Stoke,1,0,H,1,0,H,M Atkinson,1.4,5.0,9.5,1.4,4.33,8.25,1.4,4.4,7.3,1.44,4.2,7.5,1.41,4.88,9.35,1.36,4.6,9.0,1.36,4.5,9.5,1.4,5.0,9.5,0,0,0,1.44,5.0,9.5,1.38,4.54,8.88,1,3,0,3.0,0.0
E0,2013-08-17,X,Sunderland,Fulham,0,1,A,0,0,D,N Swarbrick,2.3,3.4,3.4,2.25,3.2,3.25,2.2,3.2,3.2,2.2,3.25,3.3,2.25,3.37,3.58,2.2,3.3,3.3,2.25,3.3,3.3,2.3,3.4,3.3,0,0,0,2.3,3.4,3.58,2.22,3.3,3.29,-1,0,3,0.0,3.0
E0,2013-08-17,X,Swansea,Man United,1,4,A,0,2,A,P Dowd,4.2,3.5,2.0,4.1,3.5,1.87,4.2,3.5,1.8,4.0,3.5,1.9,4.1,3.52,2.03,4.0,3.4,1.91,4.0,3.6,1.9,3.8,3.6,2.05,0,0,0,4.2,3.6,2.05,3.84,3.4,1.99,-3,0,3,0.0,3.0
E0,2013-08-17,X,West Brom,Southampton,0,1,A,0,0,D,K Friend,2.4,3.4,3.2,2.3,3.25,3.1,2.2,3.3,3.1,2.2,3.3,3.25,2.42,3.38,3.21,2.25,3.3,3.2,2.25,3.4,3.2,2.4,3.4,3.12,0,0,0,2.42,3.4,3.25,2.31,3.33,3.07,-1,0,3,0.0,3.0
E0,2013-08-17,X,West Ham,Cardiff,2,0,H,1,0,H,H Webb,2.0,3.6,4.0,1.91,3.4,4.0,1.9,3.45,3.8,1.9,3.4,4.0,1.99,3.57,4.21,1.95,3.5,3.8,1.91,3.5,4.0,2.0,3.6,4.0,0,0,0,2.0,3.6,4.21,1.94,3.47,3.94,2,3,0,3.0,0.0
E0,2013-08-17,X,Norwich,Everton,2,2,D,0,0,D,M Oliver,3.2,3.4,2.4,3.1,3.25,2.3,2.9,3.3,2.3,3.0,3.3,2.3,3.32,3.41,2.35,3.1,3.3,2.3,3.0,3.4,2.3,3.12,3.4,2.4,0,0,0,3.32,3.41,2.4,3.12,3.27,2.31,0,1,1,1.0,1.0
E0,2013-08-17,X,Arsenal,Aston Villa,1,3,A,1,1,D,A Taylor,1.44,4.75,8.0,1.36,5.0,7.75,1.37,4.6,7.5,1.4,4.5,7.5,1.41,5.2,8.3,1.36,4.8,8.5,1.4,4.5,7.5,1.44,4.8,7.5,0,0,0,1.44,5.2,8.5,1.4,4.68,7.87,-2,0,3,0.0,3.0
E0,2013-08-18,X,Chelsea,Hull,2,0,H,2,0,H,J Moss,1.2,7.0,21.0,1.19,6.25,15.0,1.2,5.8,13.0,1.2,6.5,15.0,1.2,7.4,19.5,1.2,6.0,15.0,1.2,6.5,15.0,1.22,6.5,15.0,0,0,0,1.22,7.4,21.0,1.19,6.68,15.53,2,3,0,3.0,0.0
E0,2013-08-18,X,Crystal Palace,Tottenham,0,1,A,0,0,D,M Clattenburg,4.75,3.75,1.83,4.75,3.7,1.72,4.2,3.5,1.8,4.5,3.5,1.8,5.16,3.69,1.8,4.75,3.6,1.75,4.8,3.8,1.73,4.5,3.75,1.85,0,0,0,5.16,3.8,1.85,4.66,3.61,1.77,-1,0,3,0.0,3.0
E0,2013-08-19,X,Man City,Newcastle,4,0,H,2,0,H,A Marriner,1.33,5.5,11.0,1.3,5.25,9.75,1.3,5.0,9.0,1.28,5.5,10.0,1.31,5.86,11.66,1.29,5.5,10.0,1.3,5.25,10.0,1.33,5.5,10.5,0,0,0,1.33,5.86,11.66,1.3,5.27,10.35,4,3,0,3.0,0.0
E0,2013-08-21,X,Chelsea,Aston Villa,2,1,H,1,1,D,K Friend,1.29,5.5,10.0,1.28,5.25,10.0,1.3,5.0,9.0,1.29,5.5,9.5,1.3,5.89,11.9,1.3,5.5,9.5,1.3,5.25,10.0,1.29,5.75,12.0,0,0,0,1.3,5.89,12.0,1.29,5.42,10.17,1,3,0,3.0,1.5
E0,2013-08-24,X,Hull,Norwich,1,0,H,1,0,H,M Jones,2.45,3.4,3.1,2.4,3.25,2.95,2.4,3.3,2.75,2.4,3.3,2.9,2.44,3.4,3.15,2.4,3.1,3.1,2.4,3.3,3.0,2.5,3.25,3.1,0,0,0,2.5,3.4,3.15,2.39,3.25,3.01,1,3,0,3.0,0.0
E0,2013-08-24,X,Aston Villa,Liverpool,0,1,A,0,1,A,M Clattenburg,4.0,3.75,1.95,3.8,3.6,1.91,3.6,3.3,2.0,4.0,3.5,1.91,4.18,3.83,1.93,3.75,3.6,1.95,4.0,3.5,1.91,3.9,3.8,1.95,0,0,0,4.18,3.83,2.0,3.93,3.55,1.91,-1,0,3,0.0,3.0
E0,2013-08-24,X,Everton,West Brom,0,0,D,0,0,D,R East,1.57,4.33,6.5,1.53,4.1,6.0,1.55,3.9,5.6,1.57,3.75,6.0,1.55,4.33,7.01,1.55,4.0,6.0,1.57,4.0,6.0,1.6,4.2,6.0,0,0,0,1.6,4.33,7.01,1.55,3.94,6.27,0,1,1,1.0,1.0
E0,2013-08-24,X,Fulham,Arsenal,1,3,A,0,2,A,H Webb,3.8,3.5,2.1,3.6,3.5,2.0,3.3,3.3,2.1,3.5,3.4,2.1,3.7,3.58,2.13,3.4,3.5,2.1,3.5,3.4,2.1,3.5,3.5,2.15,0,0,0,3.8,3.58,2.15,3.51,3.38,2.1,-2,0,3,0.0,3.0
E0,2013-08-24,X,Newcastle,West Ham,0,0,D,0,0,D,P Dowd,2.3,3.4,3.4,2.25,3.2,3.25,2.1,3.3,3.3,2.2,3.3,3.3,2.31,3.4,3.41,2.2,3.3,3.3,2.2,3.4,3.3,2.3,3.4,3.3,0,0,0,2.31,3.4,3.41,2.22,3.29,3.29,0,1,1,1.0,1.0
E0,2013-08-24,X,Southampton,Sunderland,1,1,D,0,1,A,L Mason,1.73,3.8,5.5,1.65,3.8,5.0,1.85,3.45,4.0,1.72,3.75,4.5,1.68,4.01,5.57,1.67,3.6,5.5,1.73,3.6,5.0,1.75,3.6,5.0,0,0,0,1.85,4.01,5.57,1.69,3.66,5.16,0,1,1,1.0,1.0
E0,2013-08-24,X,Stoke,Crystal Palace,2,1,H,0,1,A,A Marriner,1.83,3.6,5.0,1.8,3.4,4.6,1.8,3.5,4.2,1.83,3.4,4.5,1.81,3.65,5.16,1.85,3.3,4.6,1.8,3.5,4.8,1.85,3.5,4.8,0,0,0,1.85,3.65,5.16,1.83,3.42,4.54,1,3,0,3.0,0.0
E0,2013-08-25,X,Cardiff,Man City,3,2,H,0,0,D,L Probert,8.5,4.75,1.44,8.25,4.2,1.42,7.0,4.0,1.45,6.5,4.5,1.45,7.99,4.75,1.46,7.5,4.5,1.4,7.0,4.5,1.44,7.5,4.75,1.45,0,0,0,8.5,4.75,1.46,7.32,4.39,1.44,1,3,0,3.0,0.0
